"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES"
"ISE00105694","1962-06-01","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  285",",,E","  182",",,E",,
"ISE00105694","1962-06-02","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  314",",,E","  161",",,E",,
"ISE00105694","1962-06-03","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  299",",,E","  130",",,E",,
"ISE00105694","1962-06-04","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  297",",,E","  190",",,E",,
"ISE00105694","1962-06-05","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  279",",,E","  184",",,E",,
"ISE00105694","1962-06-06","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  294",",,E","  188",",,E",,
"ISE00105694","1962-06-07","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  291",",,E","  160",",,E",,
"ISE00105694","1962-06-08","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  266",",,E","  144",",,E",,
"ISE00105694","1962-06-09","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  265",",,E","  143",",,E",,
"ISE00105694","1962-06-10","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  293",",,E","  141",",,E",,
"ISE00105694","1962-06-11","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  401",",,E","  139",",,E",,
"ISE00105694","1962-06-12","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  319",",,E","  180",",,E",,
"ISE00105694","1962-06-13","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  294",",,E","  185",",,E",,
"ISE00105694","1962-06-14","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  266",",,E","  181",",,E",,
"ISE00105694","1962-06-15","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  271",",,E","  149",",,E",,
"ISE00105694","1962-06-16","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  284",",,E","  162",",,E",,
"ISE00105694","1962-06-17","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  288",",,E","  161",",,E",,
"ISE00105694","1962-06-18","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  287",",,E","  150",",,E",,
"ISE00105694","1962-06-19","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  278",",,E","  138",",,E",,
"ISE00105694","1962-06-20","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  279",",,E","  145",",,E",,
"ISE00105694","1962-06-21","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  310",",,E","  135",",,E",,
"ISE00105694","1962-06-22","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  375",",,E","  165",",,E",,
"ISE00105694","1962-06-23","32.0","34.7994","30.0","BET DAGAN, IS",,,,,"  300",",,E","  160",",,E",,
